"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"214",4383,"2 entre -5% y 5%",0.142822560461313,3.78068390897741,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"15",FALSE
"215",4411,"2 entre -5% y 5%",-0.64719399016755,3.98168178748628,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"13",FALSE
"220",4542,"2 entre -5% y 5%",-0.798581956635341,-0.353996312751851,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"8",FALSE
"225",4622,"2 entre -5% y 5%",0.910617571863827,-0.12471924710534,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"10",FALSE
"226",4628,"2 entre -5% y 5%",0.318713874545572,2.61458450815858,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"4",FALSE
"228",4703,"2 entre -5% y 5%",0.628756381854597,0.24694486520483,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"3",FALSE
"229",4713,"2 entre -5% y 5%",0.00867136723654675,3.17433210013062,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"232",4747,"2 entre -5% y 5%",-0.388167890084336,6.03078342855013,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"13",FALSE
"236",4851,"2 entre -5% y 5%",0.449856668633169,6.02775515431906,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"7",FALSE
"238",4871,"2 entre -5% y 5%",-0.828443869329876,1.95079525162884,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"9",FALSE
"240",4900,"2 entre -5% y 5%",0.886316295836489,5.11365987164979,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
"243",5044,"1 Menor a -5%",0.307288160021618,1.22615106329611,0.137694153599676,0.520811901424669,0,1,0,1,0,0,1,0,0,"1",FALSE
"248",5145,"2 entre -5% y 5%",1.84321897022614,2.03742267093759,0.137694153599676,1.37425900515292,0,1,0,1,0,0,1,0,0,"13",FALSE
"249",5179,"2 entre -5% y 5%",0.163692620891059,2.11244230731531,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"13",FALSE
"251",5198,"2 entre -5% y 5%",-0.00541962486481802,-0.366002349476053,0.137694153599676,0.520811901424669,0,1,0,1,0,0,1,0,0,"1",FALSE
"254",5317,"2 entre -5% y 5%",0.614474322062521,0.227814697471545,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"14",FALSE
"255",5380,"3 Mayor a 5%",-0.611413980832971,2.07680778538069,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"4",FALSE
"256",5460,"2 entre -5% y 5%",-0.812941710619278,-0.588315530378124,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"258",5492,"2 entre -5% y 5%",-0.390806491544369,0.0252415045899467,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"259",5528,"2 entre -5% y 5%",2.2011027650514,-1.12527055173818,0.137694153599676,-1.18608230603183,0,1,0,1,0,0,1,0,0,"7",FALSE
"260",5555,"2 entre -5% y 5%",2.84473678402556,4.22405078617218,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"3",FALSE
"261",5575,"2 entre -5% y 5%",2.88774702152365,4.27507261867146,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"3",FALSE
"262",5674,"3 Mayor a 5%",-0.363379774914871,1.83885521365264,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
"264",5716,"2 entre -5% y 5%",6.08366292473033,4.22636022763123,0.137694153599676,1.37425900515292,1,0,0,1,0,0,0,1,0,"15",FALSE
"265",5720,"2 entre -5% y 5%",-0.311983899919375,5.55964207658957,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"1",FALSE
"269",5763,"2 entre -5% y 5%",1.40386298357863,1.17110788252158,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"271",5770,"2 entre -5% y 5%",0.886316295836489,5.49175061541921,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
"273",5788,"2 entre -5% y 5%",3.41913994799023,3.3424199149363,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
